coinc_event_id,simulation_id,far,snr,searched_area,searched_prob,searched_prob_dist,searched_vol,searched_prob_vol,offset,runtime,distmean,diststd,log_bci,log_bsn,area(20),area(50),area(90),dist(20),dist(50),dist(90),vol(20),vol(50),vol(90),event_id,percent_coverage,texp_sched (ks),tiles_to_90pct,tiles_total,visit_total
14,14,0.0,21.85753178296231,0.290966058642542,0.2410315121540805,0.7373847993912644,335.2499453441613,0.3139943948833449,0.2658188555930825,67.43821454513818,183.10008470914636,32.60914968543729,20.147832446512247,132.01185265446463,0.2352847409823252,0.7346999286605858,2.5029315725926886,16.39720720014938,43.69263592314476,107.15179455822496,185.5946252776201,684.1825290770453,3132.6919670011844,14,99.99999643326714,0.3,1,1,2
106,106,0.0,13.95458708637551,4.888229785194818,0.2617886291003085,0.8050835462457827,57088.56900461664,0.3943337101879999,1.3002768124367876,86.54247149359435,363.2044448799187,78.85443598582401,14.38878528379882,37.663817139717295,3.5164946961894867,12.237423882136008,63.96354818838923,37.686932675800506,100.65122177226743,252.05094916077724,20900.54943351096,88631.85228180057,640218.3698337084,106,96.28315471049936,2.8664877558147697,3,4,2
127,127,0.0,45.10343186760728,0.1245826504610329,0.1566442326939086,0.0960073520158998,149.34746799011737,0.2194795416836574,0.192294356989948,88.76202653441578,169.64650012448172,36.61969686894408,24.196811113838315,659.7733591558671,0.1639832340316644,0.5370389432385233,2.4967771966791314,18.840447204553072,50.13265421173193,120.2197481429312,132.5756817731859,511.030647357575,2923.9273626377944,127,99.90963016419884,0.3,1,3,2
159,159,0.0,25.69478476321197,1.4212257624962832,0.2856433578443109,0.0573325013836512,53679.23326251892,0.3622240975237828,0.5337969617514766,122.7321936171502,602.1537323148207,131.98721014833467,33.010299242808365,196.29611973355088,0.9396511678248106,2.9599643172331565,10.176844767996414,66.9728239510257,178.28425301575658,434.4178079628642,24204.700564037816,89369.70918449548,404624.1977326553,159,99.99995906859712,7.751826644305534,1,2,2
329,329,0.0,49.62750199936024,0.6220936296047651,0.4918729589742464,0.3119658003352311,133.60759282528326,0.3135166882937176,0.3556021325744156,140.75549340061843,151.73642424857667,20.91641492970904,24.504682280700592,810.3239920209419,0.2016175244589609,0.637286118290423,2.244646427194319,10.510032224177593,28.004131936009287,68.6578689992233,73.8595712154395,274.96966623779906,1293.483094170709,329,99.99973726163856,2.946424418422205,1,1,2
498,498,0.0,15.66374182691236,0.9343698784577584,0.1681227500751152,0.8623095177022926,40811.080629283904,0.5053059096837806,0.9489049341003905,83.70860197488219,452.7071700952864,83.96573200305559,25.49913377093457,55.68159404439909,1.1267242912151607,3.366148493053756,10.825089591215091,42.48972612368556,113.13798814025988,276.16334362707465,11336.773431035004,40096.97367952703,174719.9241310889,498,99.99999672330304,3.891926853102844,1,2,2
560,560,0.0,24.3012307587632,0.3491592703710494,0.086368107873121,0.2751035076377807,247.1001642535509,0.0346524579086826,0.2935136012749735,81.9831441026181,255.72748176375745,45.83446599959306,25.945738604211968,171.53380265118764,0.8670340950835743,2.753593009203476,10.29835383721742,23.102278615139625,61.55223526487944,150.68202932661612,1795.9024751898155,6748.87307401466,34100.57327828879,560,98.87852105772616,0.3722939407872963,5,5,2
601,601,0.0,34.5777310405549,2.3285480918406494,0.572881938787038,0.4678045116651178,144.44251617927247,0.3430875857624775,1.7329555846935147,84.57344871852547,104.46812210313642,13.553742931505385,33.63134886017511,376.8994388480165,0.6079344217112216,1.8922833554196183,6.441424527605282,6.8122970210310285,18.150599250786016,44.48927026187323,70.70392546263464,259.8498455688164,1179.6081341517906,601,99.99901308441096,0.3,2,4,2
800,800,0.0,14.32171238597394,16.235086449552412,0.8132520800647244,0.1352959241644321,12681.239691347151,0.6123096059543593,3.620137773164913,57.11506485380232,191.63470450658264,48.62998667308066,10.733252630113064,40.45328918282697,2.0048343942473505,6.388512875643786,22.854092167136702,24.546318787029293,65.46854760494355,160.40423859944525,2292.166793390056,8605.971780003956,41467.54618471644,800,99.07643801962357,10.70729371312653,3,3,2
857,857,0.0,12.95110779543755,3.1998070223674637,0.5333609636115725,0.6627721374793343,19992.41203879886,0.4340819668650474,1.3805122478091325,119.72095711156726,389.81732958102646,79.78570813440705,21.262014416106297,29.37240021537039,0.9236421929540284,2.9030369835517926,10.459644033969708,40.314201016082336,107.37049158469812,262.35286001484604,6773.495834106785,25382.56997051755,125601.85210974414,857,99.99078772076088,3.5653423508496864,1,1,2
